Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,Recycling_fee_EUR,Customs_duty_EUR,km_category
27,95,2007,3,137660.0,1500.0,0,0,6600.0,16,9177.333333333334,69.46299759551162,4800.0,0
28,23,2011,11,213548.0,1300.0,0,0,5650.0,12,19413.454545454544,69.46299759551162,4160.0,1
41,133,2006,10,193096.0,1500.0,4,0,3700.0,17,12068.5,69.46299759551162,4800.0,1
28,101,1992,2,400000.0,2000.0,3,0,1600.0,31,13333.333333333334,69.46299759551162,9600.0,1
33,68,2016,3,150425.0,1500.0,0,1,14990.0,7,25070.83333333333,69.46299759551162,4800.0,2
11,54,2018,10,105000.0,2000.0,2,1,15000.0,5,26250.0,69.46299759551162,9600.0,2
43,88,2000,1,191000.0,1800.0,3,1,3850.0,23,8681.818181818182,69.46299759551162,6300.0,0
33,42,1998,4,129448.0,1600.0,4,1,2399.0,25,5393.666666666667,69.46299759551162,5600.0,0
33,101,2015,6,168000.0,1600.0,0,1,18650.0,8,24000.0,69.46299759551162,5600.0,2
2,6,1994,10,180000.0,1600.0,4,0,2400.0,29,6428.571428571428,69.46299759551162,5600.0,0
36,101,2015,3,150000.0,1400.0,4,1,11000.0,8,21428.571428571428,69.46299759551162,4480.0,2
19,101,2007,9,223000.0,2700.0,0,1,15000.0,16,14866.666666666666,69.46299759551162,13500.0,1
43,110,2011,11,141000.0,1400.0,4,0,9800.0,12,12818.181818181818,69.46299759551162,4480.0,1
43,88,2003,10,250000.0,1922.0,0,1,4600.0,20,13157.894736842103,69.46299759551162,9225.6,1
23,48,2006,10,250000.0,2200.0,0,1,9999.0,17,15625.0,69.46299759551162,10560.0,1
28,23,2011,11,176000.0,1300.0,0,0,6000.0,12,16000.0,69.46299759551162,4160.0,1
33,62,2014,11,167000.0,1500.0,0,1,8600.0,9,20875.0,69.46299759551162,4800.0,2
2,12,2008,10,387000.0,300.0,4,1,12000.0,15,27642.85714285714,69.46299759551162,900.0,2
2,12,2011,10,180000.0,2999.0,0,1,22000.0,12,16363.636363636364,69.46299759551162,14995.0,1
29,101,2006,6,170000.0,2000.0,0,1,2000.0,17,10625.0,69.46299759551162,9600.0,1
13,35,2013,9,178500.0,2200.0,0,0,15700.0,10,19833.33333333333,69.46299759551162,10560.0,1
36,114,2012,10,265000.0,1800.0,4,1,8999.0,11,26500.0,69.46299759551162,6300.0,2
23,48,2002,10,331200.0,2200.0,0,1,6399.0,21,16560.0,69.46299759551162,10560.0,1
36,114,2017,10,120000.0,1999.0,4,1,23900.0,6,24000.0,69.46299759551162,9595.199999999999,2
43,66,2013,10,110000.0,1400.0,2,1,8000.0,10,12222.222222222224,69.46299759551162,4480.0,1
14,135,2010,7,190000.0,2000.0,0,1,12000.0,13,15833.333333333334,69.46299759551162,9600.0,1
41,101,2014,4,144947.0,1496.0,2,1,7499.0,9,18118.375,69.46299759551162,4787.2,1
33,62,2012,11,180000.0,1500.0,0,0,7499.0,11,18000.0,69.46299759551162,4800.0,1
2,129,2012,9,157000.0,3000.0,4,1,17499.0,11,15700.0,69.46299759551162,15000.0,1
33,115,2016,10,151130.0,1500.0,0,0,12499.0,7,25188.33333333333,69.46299759551162,4800.0,2
33,80,2006,11,170000.0,2000.0,3,0,2900.0,17,10625.0,69.46299759551162,9600.0,1
27,67,2011,9,155000.0,1600.0,4,1,9300.0,12,14090.90909090909,69.46299759551162,5600.0,1
39,101,2011,4,116000.0,1400.0,0,1,7300.0,12,10545.454545454546,69.46299759551162,4480.0,1
6,76,2007,10,185000.0,1500.0,0,0,3400.0,16,12333.333333333334,69.46299759551162,4800.0,1
27,127,2015,9,124000.0,1600.0,0,1,13000.0,8,17714.285714285714,69.46299759551162,5600.0,1
23,31,2015,11,222000.0,2000.0,5,1,17500.0,8,31714.285714285717,69.46299759551162,9600.0,2
41,102,2016,3,133494.0,2494.0,2,1,21500.0,7,22249.0,69.46299759551162,12470.0,2
